file_name,provider_name,provider_extension,agent_extension,phone_number,start_time,end_time
john_003,John Doe,101,1001,001-292-671-5594x518,2025-04-25 01:35:00,2025-04-25 01:52:00
jane_003,Jane Smith,1002,+1-986-600-7126,2025-04-18 19:34:01,2025-04-18 19:43:01
jane_003,Jane Smith,1002,257-676-4984,2025-04-09 10:28:09,2025-04-09 10:51:09
john_001,John Doe,101,1001,665.737.4359x60870,2025-04-08 18:24:53,2025-04-08 18:34:53
jane_001,Jane Smith,1002,344.759.3301x92518,2025-04-23 20:58:25,2025-04-23 21:05:25
liu_001,Liu Wei,1005,040-724-5571x2926,2025-04-16 13:31:50,2025-04-16 13:41:50
liu_001,Liu Wei,1005,+1-721-696-1699x99100,2025-04-05 14:02:41,2025-04-05 14:31:41
ali_003,Ali Khan,1003,+1-210-786-5197x62328,2025-04-27 21:56:12,2025-04-27 22:14:12
liu_002,Liu Wei,1005,(214)585-5820,2025-04-14 10:19:41,2025-04-14 10:31:41
john_003,John Doe,101,1001,(251)503-1860x22761,2025-04-11 09:11:32,2025-04-11 09:24:32
jane_003,Jane Smith,1002,281-543-4632x10368,2025-04-14 00:05:45,2025-04-14 00:20:45
jane_003,Jane Smith,1002,+1-381-007-8427x8411,2025-04-10 14:47:39,2025-04-10 15:14:39
john_002,John Doe,101,1001,582-042-6200x601,2025-04-03 17:44:05,2025-04-03 18:06:05
ali_002,Ali Khan,1003,(784)000-5465x386,2025-04-22 16:56:55,2025-04-22 17:13:55
john_002,John Doe,101,1001,001-569-103-9415,2025-04-13 16:49:57,2025-04-13 17:08:57
liu_001,Liu Wei,1005,830-678-6697,2025-04-21 15:05:33,2025-04-21 15:11:33
liu_001,Liu Wei,1005,(390)389-0525,2025-04-26 23:33:41,2025-04-26 23:45:41
jane_001,Jane Smith,1002,(964)553-9429,2025-04-24 20:06:30,2025-04-24 20:20:30
ali_003,Ali Khan,1003,048.967.4190x984,2025-04-06 03:54:54,2025-04-06 04:11:54
john_001,John Doe,101,1001,955.457.9536x59961,2025-04-17 06:29:27,2025-04-17 06:41:27
liu_001,Liu Wei,1005,005.143.9903x990,2025-04-23 10:46:42,2025-04-23 10:56:42
maria_002,Maria Garcia,1004,6712742213,2025-04-29 16:51:11,2025-04-29 17:06:11
john_001,John Doe,101,1001,001-336-275-2428x507,2025-04-20 08:01:02,2025-04-20 08:11:02
ali_002,Ali Khan,1003,+1-875-713-1485x692,2025-04-05 10:14:25,2025-04-05 10:42:25
jane_001,Jane Smith,1002,001-143-534-3071,2025-04-19 06:17:08,2025-04-19 06:43:08
john_003,John Doe,101,1001,864.772.7405x611,2025-04-19 20:43:42,2025-04-19 21:01:42
liu_003,Liu Wei,1005,847.433.8561,2025-04-25 08:01:42,2025-04-25 08:15:42
ali_002,Ali Khan,1003,5492634346,2025-04-12 02:38:52,2025-04-12 02:56:52
maria_002,Maria Garcia,1004,565-670-8068,2025-04-20 01:35:00,2025-04-20 01:55:00
jane_002,Jane Smith,1002,319.299.6313x415,2025-04-26 02:43:42,2025-04-26 02:48:42
john_001,John Doe,101,1001,117-664-0453,2025-04-15 01:19:30,2025-04-15 01:40:30
jane_002,Jane Smith,1002,+1-703-992-5478,2025-04-11 21:39:10,2025-04-11 22:02:10
maria_001,Maria Garcia,1004,+1-320-154-9308x02911,2025-04-28 21:06:59,2025-04-28 21:11:59
john_002,John Doe,101,1001,372.734.0497x9624,2025-04-27 20:38:02,2025-04-27 20:52:02
liu_003,Liu Wei,1005,(724)747-1428x4951,2025-04-13 16:50:59,2025-04-13 17:02:59
maria_001,Maria Garcia,1004,8976508508,2025-04-22 16:04:45,2025-04-22 16:15:45
jane_003,Jane Smith,1002,624-416-6235x603,2025-04-09 16:40:52,2025-04-09 17:00:52
ali_002,Ali Khan,1003,+1-940-354-9701,2025-04-26 06:04:12,2025-04-26 06:30:12
maria_001,Maria Garcia,1004,(732)184-0086x3490,2025-04-09 16:59:02,2025-04-09 17:13:02
john_001,John Doe,101,1001,001-057-465-7616,2025-04-23 22:32:00,2025-04-23 23:00:00
john_002,John Doe,101,1001,330-861-2615,2025-04-30 17:59:03,2025-04-30 18:15:03
jane_001,Jane Smith,1002,(679)600-4817,2025-04-23 12:41:58,2025-04-23 13:07:58
maria_002,Maria Garcia,1004,549.104.4342x5390,2025-04-02 19:36:52,2025-04-02 19:46:52
maria_002,Maria Garcia,1004,698.805.3288,2025-04-20 09:33:00,2025-04-20 09:38:00
john_002,John Doe,101,1001,001-889-058-2410x4391,2025-04-22 16:28:44,2025-04-22 16:42:44
ali_002,Ali Khan,1003,452-727-4998x301,2025-04-12 23:27:06,2025-04-12 23:46:06
liu_001,Liu Wei,1005,(090)653-4636x663,2025-04-12 03:09:49,2025-04-12 03:35:49
liu_003,Liu Wei,1005,(993)737-9463x492,2025-04-30 10:21:30,2025-04-30 10:33:30
john_001,John Doe,101,1001,001-001-352-3629,2025-04-05 04:49:09,2025-04-05 05:05:09
maria_001,Maria Garcia,1004,001-296-748-6139x1699,2025-05-01 01:13:41,2025-05-01 01:29:41
jane_001,Jane Smith,1002,951.682.9565,2025-04-30 08:24:58,2025-04-30 08:31:58
maria_003,Maria Garcia,1004,+1-836-754-2983,2025-04-13 04:28:28,2025-04-13 04:58:28
jane_003,Jane Smith,1002,2928567109,2025-04-13 06:32:08,2025-04-13 06:58:08
